単語,元単語,問題ID,読み方,別解,別表記,意味,追記,レベル,画像,切り抜き画像,Tags
弦る,賖る,Lv06_0090,おぎのる,おきのる,賖る・燥る・玻る・賒る,代価を借りて物を買う。掛けで買う。,,06,"<img src=""Lv06_0090.png"">","<img src=""Lv06_0090_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
賒る,賖る,Lv06_0090,おぎのる,おきのる,賖る・燥る・玻る・弦る,代価を借りて物を買う。掛けで買う。,,06,"<img src=""Lv06_0090.png"">","<img src=""Lv06_0090_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
贉す,,Lv06_0091,あきさす,,𧸘す,先払いで品物を売買する。手付金を払う。,,06,"<img src=""Lv06_0091.png"">","<img src=""Lv06_0091_cropped.png"">",漢字でGO!-06
𧸘す,贉す,Lv06_0091,あきさす,,贉す,先払いで品物を売買する。手付金を払う。,,06,"<img src=""Lv06_0091.png"">","<img src=""Lv06_0091_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
跑乗り,,Lv06_0092,だくのり,,,やや足早に馬を駆けさせること。,,06,"<img src=""Lv06_0092.png"">","<img src=""Lv06_0092_cropped.png"">",漢字でGO!-06
躵う,,Lv06_0093,ねらう,,狙う,的を狙う。機会をうかがう。,躵は国字。,06,"<img src=""Lv06_0093.png"">","<img src=""Lv06_0093_cropped.png"">",漢字でGO!-06
狙う,躵う,Lv06_0093,ねらう,,躵う,的を狙う。機会をうかがう。,躵は国字。,06,"<img src=""Lv06_0093.png"">","<img src=""Lv06_0093_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
跗,,Lv06_0094,あなひら,,趺,足の甲。足のひら。,上代語で、足は「あ」と言い、「な」は現在の「の」と同じ意味を持つ助詞であった。,06,"<img src=""Lv06_0094.png"">","<img src=""Lv06_0094_cropped.png"">",漢字でGO!-06
趺,跗,Lv06_0094,あなひら,,跗,足の甲。足のひら。,上代語で、足は「あ」と言い、「な」は現在の「の」と同じ意味を持つ助詞であった。,06,"<img src=""Lv06_0094.png"">","<img src=""Lv06_0094_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
醶い,,Lv06_0095,えぐい,,蘞い,いがらっぽい。のどを刺激するような味がする。,,06,"<img src=""Lv06_0095.png"">","<img src=""Lv06_0095_cropped.png"">",漢字でGO!-06
蘞い,醶い,Lv06_0095,えぐい,,醶い,いがらっぽい。のどを刺激するような味がする。,,06,"<img src=""Lv06_0095.png"">","<img src=""Lv06_0095_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
釃む,,Lv06_0096,したむ,,湑む,竹製のざるで酒をこす。,,06,"<img src=""Lv06_0096.png"">","<img src=""Lv06_0096_cropped.png"">",漢字でGO!-06
湑む,釃む,Lv06_0096,したむ,,釃む,竹製のざるで酒をこす。,,06,"<img src=""Lv06_0096.png"">","<img src=""Lv06_0096_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
䨄山祇,,Lv06_0097,しぎやまつみ,志芸山津見,,『古事記』に登場する、木の繁っている山をつかさどる神。,,06,"<img src=""Lv06_0097.png"">","<img src=""Lv06_0097_cropped.png"">",漢字でGO!-06
鞖,,Lv06_0098,しおで,,四方手・四緒手,鞍の前輪と後輪の左右両方にとり付け、むながい、しりがいを結びつける馬具。,,06,"<img src=""Lv06_0098.png"">","<img src=""Lv06_0098_cropped.png"">",漢字でGO!-06
四方手,鞖,Lv06_0098,しおで,,鞖・四緒手,鞍の前輪と後輪の左右両方にとり付け、むながい、しりがいを結びつける馬具。,,06,"<img src=""Lv06_0098.png"">","<img src=""Lv06_0098_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
四緒手,鞖,Lv06_0098,しおで,,鞖・四方手,鞍の前輪と後輪の左右両方にとり付け、むながい、しりがいを結びつける馬具。,,06,"<img src=""Lv06_0098.png"">","<img src=""Lv06_0098_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
黧む,,Lv06_0099,つじむ,つしむ,,肌に赤黒い斑点などが出る。黒ずむ。,,06,"<img src=""Lv06_0099.png"">","<img src=""Lv06_0099_cropped.png"">",漢字でGO!-06
江戸鬠,,Lv06_0100,えどもとゆい,,江戸元結,日本髪を結うとき根元を束ねるのに使う紐。古く、江戸で作られたところからいう。,,06,"<img src=""Lv06_0100.png"">","<img src=""Lv06_0100_cropped.png"">",漢字でGO!-06
江戸元結,江戸鬠,Lv06_0100,えどもとゆい,,江戸鬠,日本髪を結うとき根元を束ねるのに使う紐。古く、江戸で作られたところからいう。,,06,"<img src=""Lv06_0100.png"">","<img src=""Lv06_0100_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
篤癃人,,Lv06_0101,あつえびと,,,重病の人。危篤の病にかかっている人。,,06,"<img src=""Lv06_0101.png"">","<img src=""Lv06_0101_cropped.png"">",漢字でGO!-06
皞皞,,Lv06_0102,こうこう,,,心がひろく、ゆったりとしているさま。,,06,"<img src=""Lv06_0102.png"">","<img src=""Lv06_0102_cropped.png"">",漢字でGO!-06
眴,,Lv06_0103,めくばせ,めくわせ,,まばたきして意志を伝えること。また、目を動かして合図すること。,,06,"<img src=""Lv06_0103.png"">","<img src=""Lv06_0103_cropped.png"">",漢字でGO!-06
香奩体,,Lv06_0104,こうれんたい,,,中国古典詩の詩風の一体。男女の官能的な情愛をうたったもの。,,06,"<img src=""Lv06_0104.png"">","<img src=""Lv06_0104_cropped.png"">",漢字でGO!-06
皦如,,Lv06_0105,きょうじょ,,,明らかなさま。また、音などがはっきりしているさま。,,06,"<img src=""Lv06_0105.png"">","<img src=""Lv06_0105_cropped.png"">",漢字でGO!-06
